entity,company,metric,period_end_dt,reported_sales_yoy
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,9/26/2017,12.3%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,12/26/2017,12.6%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,3/27/2018,10.5%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,6/26/2018,11.0%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,9/25/2018,9.9%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,12/25/2018,11.0%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,3/26/2019,10.1%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,6/25/2019,9.7%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,9/24/2019,9.4%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,12/31/2019,19.7%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,3/31/2020,-5.5%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,6/30/2020,-30.9%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,9/29/2020,-2.9%
TXRH,Texas Roadhouse Inc.,US Company-Owned Restaurant Sales,12/29/2020,
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,9/27/2017,-2.8%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,12/27/2017,-0.8%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,3/28/2018,0.0%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,6/27/2018,0.7%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,9/26/2018,1.6%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,12/26/2018,2.5%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,3/27/2019,2.7%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,6/26/2019,1.7%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,9/25/2019,4.9%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,12/25/2019,11.4%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,3/25/2020,3.7%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,6/24/2020,-31.3%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,9/23/2020,-4.7%
EAT,"Brinker International, Inc.",US Company-Owned Restaurant Sales,12/23/2020,
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),5/28/2017,8.1%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),8/27/2017,12.9%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),11/26/2017,14.6%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),2/25/2018,13.3%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),5/27/2018,10.3%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),8/26/2018,6.5%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),11/25/2018,4.9%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),2/24/2019,5.5%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),5/26/2019,4.5%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),8/25/2019,3.5%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),11/24/2019,4.2%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),2/23/2020,4.5%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),5/31/2020,-43.0%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),8/30/2020,-28.4%
DRI,"Darden Restaurants, Inc.",Reported Total Revenue (ex. Red Lobster),11/29/2020,
